,period,stateid,stateDescription,sectorid,sectorName,customers,sales,customers-units,sales-units
0,2024-07,NJ,New Jersey,RES,residential,3726178,4281.43278,number of customers,million kilowatt hours
1,2024-06,NJ,New Jersey,RES,residential,3737560,3348.55593,number of customers,million kilowatt hours
2,2024-05,NJ,New Jersey,RES,residential,3725530,2144.62638,number of customers,million kilowatt hours
3,2024-04,NJ,New Jersey,RES,residential,3727688,1840.4786,number of customers,million kilowatt hours
4,2024-03,NJ,New Jersey,RES,residential,3710011,1825.92001,number of customers,million kilowatt hours
5,2024-02,NJ,New Jersey,RES,residential,3720034,2150.4948,number of customers,million kilowatt hours
6,2024-01,NJ,New Jersey,RES,residential,3697259,2560.04823,number of customers,million kilowatt hours
7,2023-12,NJ,New Jersey,RES,residential,3719353,2288.28584,number of customers,million kilowatt hours
8,2023-11,NJ,New Jersey,RES,residential,3714396,1953.21047,number of customers,million kilowatt hours
9,2023-10,NJ,New Jersey,RES,residential,3706181,1878.70741,number of customers,million kilowatt hours
10,2023-09,NJ,New Jersey,RES,residential,3703413,2592.37898,number of customers,million kilowatt hours
11,2023-08,NJ,New Jersey,RES,residential,3714448,3278.33092,number of customers,million kilowatt hours
12,2023-07,NJ,New Jersey,RES,residential,3707537,3969.22588,number of customers,million kilowatt hours
13,2023-06,NJ,New Jersey,RES,residential,3690330,2555.33971,number of customers,million kilowatt hours
14,2023-05,NJ,New Jersey,RES,residential,3693423,1862.08882,number of customers,million kilowatt hours
15,2023-04,NJ,New Jersey,RES,residential,3692208,1675.75443,number of customers,million kilowatt hours
16,2023-03,NJ,New Jersey,RES,residential,3689265,2049.11479,number of customers,million kilowatt hours
17,2023-02,NJ,New Jersey,RES,residential,3691687,2041.18763,number of customers,million kilowatt hours
18,2023-01,NJ,New Jersey,RES,residential,3687847,2285.02413,number of customers,million kilowatt hours
19,2022-12,NJ,New Jersey,RES,residential,3685152,2456.36299,number of customers,million kilowatt hours
20,2022-11,NJ,New Jersey,RES,residential,3684666,1852.56297,number of customers,million kilowatt hours
21,2022-10,NJ,New Jersey,RES,residential,3681735,1633.9079,number of customers,million kilowatt hours
22,2022-09,NJ,New Jersey,RES,residential,3684170,2417.13795,number of customers,million kilowatt hours
23,2022-08,NJ,New Jersey,RES,residential,3682346,4026.18402,number of customers,million kilowatt hours
24,2022-07,NJ,New Jersey,RES,residential,3684047,4172.12541,number of customers,million kilowatt hours
25,2022-06,NJ,New Jersey,RES,residential,3693221,2787.00783,number of customers,million kilowatt hours
26,2022-05,NJ,New Jersey,RES,residential,3665497,2152.20312,number of customers,million kilowatt hours
27,2022-04,NJ,New Jersey,RES,residential,3657277,1761.79505,number of customers,million kilowatt hours
28,2022-03,NJ,New Jersey,RES,residential,3674026,1938.88845,number of customers,million kilowatt hours
29,2022-02,NJ,New Jersey,RES,residential,3655821,2128.74468,number of customers,million kilowatt hours
30,2022-01,NJ,New Jersey,RES,residential,3658849,2735.27162,number of customers,million kilowatt hours
31,2021-12,NJ,New Jersey,RES,residential,3671474,2242.44014,number of customers,million kilowatt hours
32,2021-11,NJ,New Jersey,RES,residential,3668085,1919.15629,number of customers,million kilowatt hours
33,2021-10,NJ,New Jersey,RES,residential,3667656,1868.03866,number of customers,million kilowatt hours
34,2021-09,NJ,New Jersey,RES,residential,3667110,2595.7406,number of customers,million kilowatt hours
35,2021-08,NJ,New Jersey,RES,residential,3662524,3746.76116,number of customers,million kilowatt hours
36,2021-07,NJ,New Jersey,RES,residential,3664871,3769.61288,number of customers,million kilowatt hours
37,2021-06,NJ,New Jersey,RES,residential,3657707,3175.17587,number of customers,million kilowatt hours
38,2021-05,NJ,New Jersey,RES,residential,3652863,2016.44984,number of customers,million kilowatt hours
39,2021-04,NJ,New Jersey,RES,residential,3649943,1775.58497,number of customers,million kilowatt hours
40,2021-03,NJ,New Jersey,RES,residential,3542527,2143.25484,number of customers,million kilowatt hours
41,2021-02,NJ,New Jersey,RES,residential,3639231,2225.32074,number of customers,million kilowatt hours
42,2021-01,NJ,New Jersey,RES,residential,3642958,2612.83501,number of customers,million kilowatt hours
43,2020-12,NJ,New Jersey,RES,residential,3635876,2459.93115,number of customers,million kilowatt hours
44,2020-11,NJ,New Jersey,RES,residential,3634980,1907.93412,number of customers,million kilowatt hours
45,2020-10,NJ,New Jersey,RES,residential,3636439,1779.02143,number of customers,million kilowatt hours
46,2020-09,NJ,New Jersey,RES,residential,3625469,2532.35959,number of customers,million kilowatt hours
47,2020-08,NJ,New Jersey,RES,residential,3618680,3737.37844,number of customers,million kilowatt hours
48,2020-07,NJ,New Jersey,RES,residential,3617520,4327.14252,number of customers,million kilowatt hours
49,2020-06,NJ,New Jersey,RES,residential,3619015,2885.3764,number of customers,million kilowatt hours
50,2020-05,NJ,New Jersey,RES,residential,3605911,2017.94748,number of customers,million kilowatt hours
51,2020-04,NJ,New Jersey,RES,residential,3602868,1943.75675,number of customers,million kilowatt hours
52,2020-03,NJ,New Jersey,RES,residential,3610061,1847.26075,number of customers,million kilowatt hours
53,2020-02,NJ,New Jersey,RES,residential,3609468,1964.06839,number of customers,million kilowatt hours
54,2020-01,NJ,New Jersey,RES,residential,3606761,2274.67998,number of customers,million kilowatt hours
55,2019-12,NJ,New Jersey,RES,residential,3607161,2289.13686,number of customers,million kilowatt hours
56,2019-11,NJ,New Jersey,RES,residential,3614851,1871.55459,number of customers,million kilowatt hours
57,2019-10,NJ,New Jersey,RES,residential,3600258,1805.19549,number of customers,million kilowatt hours
58,2019-09,NJ,New Jersey,RES,residential,3606683,2501.00642,number of customers,million kilowatt hours
59,2019-08,NJ,New Jersey,RES,residential,3600238,3397.64088,number of customers,million kilowatt hours
60,2019-07,NJ,New Jersey,RES,residential,3607609,3984.99134,number of customers,million kilowatt hours
61,2019-06,NJ,New Jersey,RES,residential,3592363,2638.15533,number of customers,million kilowatt hours
62,2019-05,NJ,New Jersey,RES,residential,3594206,1860.29484,number of customers,million kilowatt hours
63,2019-04,NJ,New Jersey,RES,residential,3591427,1623.72741,number of customers,million kilowatt hours
64,2019-03,NJ,New Jersey,RES,residential,3587480,2094.76419,number of customers,million kilowatt hours
65,2019-02,NJ,New Jersey,RES,residential,3577795,2084.187,number of customers,million kilowatt hours
66,2019-01,NJ,New Jersey,RES,residential,3581944,2461.90064,number of customers,million kilowatt hours
67,2018-12,NJ,New Jersey,RES,residential,3581326,2268.06515,number of customers,million kilowatt hours
68,2018-11,NJ,New Jersey,RES,residential,3579880,1914.29878,number of customers,million kilowatt hours
69,2018-10,NJ,New Jersey,RES,residential,3575540,1969.25532,number of customers,million kilowatt hours
70,2018-09,NJ,New Jersey,RES,residential,3575031,2735.60656,number of customers,million kilowatt hours
71,2018-08,NJ,New Jersey,RES,residential,3575948,3814.16556,number of customers,million kilowatt hours
72,2018-07,NJ,New Jersey,RES,residential,3573858,3678.79463,number of customers,million kilowatt hours
73,2018-06,NJ,New Jersey,RES,residential,3564260,2656.03207,number of customers,million kilowatt hours
74,2018-05,NJ,New Jersey,RES,residential,3566503,1985.52737,number of customers,million kilowatt hours
75,2018-04,NJ,New Jersey,RES,residential,3584420,1803.24509,number of customers,million kilowatt hours
76,2018-03,NJ,New Jersey,RES,residential,3530624,2127.88845,number of customers,million kilowatt hours
77,2018-02,NJ,New Jersey,RES,residential,3555481,2004.09332,number of customers,million kilowatt hours
78,2018-01,NJ,New Jersey,RES,residential,3553643,2573.71668,number of customers,million kilowatt hours
79,2017-12,NJ,New Jersey,RES,residential,3547192,2368.24945,number of customers,million kilowatt hours
80,2017-11,NJ,New Jersey,RES,residential,3556186,1846.7939,number of customers,million kilowatt hours
81,2017-10,NJ,New Jersey,RES,residential,3544220,1904.82835,number of customers,million kilowatt hours
82,2017-09,NJ,New Jersey,RES,residential,3551187,2420.21905,number of customers,million kilowatt hours
83,2017-08,NJ,New Jersey,RES,residential,3537148,3070.31271,number of customers,million kilowatt hours
84,2017-07,NJ,New Jersey,RES,residential,3542319,3515.1825,number of customers,million kilowatt hours
85,2017-06,NJ,New Jersey,RES,residential,3537112,2699.30844,number of customers,million kilowatt hours
86,2017-05,NJ,New Jersey,RES,residential,3535985,1876.00028,number of customers,million kilowatt hours
87,2017-04,NJ,New Jersey,RES,residential,3513722,1676.91856,number of customers,million kilowatt hours
88,2017-03,NJ,New Jersey,RES,residential,3531941,2123.42636,number of customers,million kilowatt hours
89,2017-02,NJ,New Jersey,RES,residential,3515002,1912.48027,number of customers,million kilowatt hours
90,2017-01,NJ,New Jersey,RES,residential,3521036,2348.15913,number of customers,million kilowatt hours
91,2016-12,NJ,New Jersey,RES,residential,3524399,2286.92999,number of customers,million kilowatt hours
92,2016-11,NJ,New Jersey,RES,residential,3519892,1815.50751,number of customers,million kilowatt hours
93,2016-10,NJ,New Jersey,RES,residential,3510077,1883.35236,number of customers,million kilowatt hours
94,2016-09,NJ,New Jersey,RES,residential,3525814,2722.79784,number of customers,million kilowatt hours
95,2016-08,NJ,New Jersey,RES,residential,3515597,3877.0794,number of customers,million kilowatt hours
96,2016-07,NJ,New Jersey,RES,residential,3512152,3779.47629,number of customers,million kilowatt hours
97,2016-06,NJ,New Jersey,RES,residential,3517332,2623.83151,number of customers,million kilowatt hours
98,2016-05,NJ,New Jersey,RES,residential,3500693,1967.19664,number of customers,million kilowatt hours
99,2016-04,NJ,New Jersey,RES,residential,3499528,1691.60739,number of customers,million kilowatt hours
100,2016-03,NJ,New Jersey,RES,residential,3506379,1914.00957,number of customers,million kilowatt hours
101,2016-02,NJ,New Jersey,RES,residential,3492331,2130.87318,number of customers,million kilowatt hours
102,2016-01,NJ,New Jersey,RES,residential,3497491,2398.06431,number of customers,million kilowatt hours
103,2015-12,NJ,New Jersey,RES,residential,3500533,2111.90673,number of customers,million kilowatt hours
104,2015-11,NJ,New Jersey,RES,residential,3504756,1789.04619,number of customers,million kilowatt hours
105,2015-10,NJ,New Jersey,RES,residential,3504644,1816.9034,number of customers,million kilowatt hours
106,2015-09,NJ,New Jersey,RES,residential,3497591,2701.68169,number of customers,million kilowatt hours
107,2015-08,NJ,New Jersey,RES,residential,3494975,3419.09309,number of customers,million kilowatt hours
108,2015-07,NJ,New Jersey,RES,residential,3500868,3495.4775,number of customers,million kilowatt hours
109,2015-06,NJ,New Jersey,RES,residential,3483477,2678.03387,number of customers,million kilowatt hours
110,2015-05,NJ,New Jersey,RES,residential,3487131,2107.73772,number of customers,million kilowatt hours
111,2015-04,NJ,New Jersey,RES,residential,3480284,1727.83344,number of customers,million kilowatt hours
112,2015-03,NJ,New Jersey,RES,residential,3474941,2296.99427,number of customers,million kilowatt hours
113,2015-02,NJ,New Jersey,RES,residential,3471776,2265.83531,number of customers,million kilowatt hours
114,2015-01,NJ,New Jersey,RES,residential,3468320,2731.73979,number of customers,million kilowatt hours
115,2014-12,NJ,New Jersey,RES,residential,3479136,2237.0328,number of customers,million kilowatt hours
116,2014-11,NJ,New Jersey,RES,residential,3477365,1986.64514,number of customers,million kilowatt hours
117,2014-10,NJ,New Jersey,RES,residential,3475362,1792.89267,number of customers,million kilowatt hours
118,2014-09,NJ,New Jersey,RES,residential,3474835,2320.5108,number of customers,million kilowatt hours
119,2014-08,NJ,New Jersey,RES,residential,3473179,2884.40167,number of customers,million kilowatt hours
120,2014-07,NJ,New Jersey,RES,residential,3472324,3391.57085,number of customers,million kilowatt hours
121,2014-06,NJ,New Jersey,RES,residential,3470671,2555.66395,number of customers,million kilowatt hours
122,2014-05,NJ,New Jersey,RES,residential,3468047,1723.81599,number of customers,million kilowatt hours
123,2014-04,NJ,New Jersey,RES,residential,3467520,1804.64868,number of customers,million kilowatt hours
124,2014-03,NJ,New Jersey,RES,residential,3464514,2283.71527,number of customers,million kilowatt hours
125,2014-02,NJ,New Jersey,RES,residential,3462735,2242.45732,number of customers,million kilowatt hours
126,2014-01,NJ,New Jersey,RES,residential,3464817,2669.22686,number of customers,million kilowatt hours
127,2013-12,NJ,New Jersey,RES,residential,3463887,2368.44056,number of customers,million kilowatt hours
128,2013-11,NJ,New Jersey,RES,residential,3467896,1988.21362,number of customers,million kilowatt hours
129,2013-10,NJ,New Jersey,RES,residential,3460440,1875.25239,number of customers,million kilowatt hours
130,2013-09,NJ,New Jersey,RES,residential,3463168,2260.04512,number of customers,million kilowatt hours
131,2013-08,NJ,New Jersey,RES,residential,3461331,2989.08371,number of customers,million kilowatt hours
132,2013-07,NJ,New Jersey,RES,residential,3463231,3903.99585,number of customers,million kilowatt hours
133,2013-06,NJ,New Jersey,RES,residential,3455380,2683.12124,number of customers,million kilowatt hours
134,2013-05,NJ,New Jersey,RES,residential,3459231,1975.7017,number of customers,million kilowatt hours
135,2013-04,NJ,New Jersey,RES,residential,3458224,1749.31199,number of customers,million kilowatt hours
136,2013-03,NJ,New Jersey,RES,residential,3464242,2133.5787,number of customers,million kilowatt hours
137,2013-02,NJ,New Jersey,RES,residential,3463328,2129.6448,number of customers,million kilowatt hours
138,2013-01,NJ,New Jersey,RES,residential,3452922,2488.24833,number of customers,million kilowatt hours
139,2012-12,NJ,New Jersey,RES,residential,3448432,2127.60978,number of customers,million kilowatt hours
140,2012-11,NJ,New Jersey,RES,residential,3460453,2037.62215,number of customers,million kilowatt hours
141,2012-10,NJ,New Jersey,RES,residential,3453055,1846.305,number of customers,million kilowatt hours
142,2012-09,NJ,New Jersey,RES,residential,3465680,2407.61675,number of customers,million kilowatt hours
143,2012-08,NJ,New Jersey,RES,residential,3458509,3588.41665,number of customers,million kilowatt hours
144,2012-07,NJ,New Jersey,RES,residential,3470239,3818.6921,number of customers,million kilowatt hours
145,2012-06,NJ,New Jersey,RES,residential,3450659,2701.40486,number of customers,million kilowatt hours
146,2012-05,NJ,New Jersey,RES,residential,3447645,1976.2633,number of customers,million kilowatt hours
147,2012-04,NJ,New Jersey,RES,residential,3459113,1736.13528,number of customers,million kilowatt hours
148,2012-03,NJ,New Jersey,RES,residential,3450091,1878.05498,number of customers,million kilowatt hours
149,2012-02,NJ,New Jersey,RES,residential,3443569,2055.97416,number of customers,million kilowatt hours
150,2012-01,NJ,New Jersey,RES,residential,3456195,2488.86298,number of customers,million kilowatt hours
151,2011-12,NJ,New Jersey,RES,residential,3458362,2151.73706,number of customers,million kilowatt hours
152,2011-11,NJ,New Jersey,RES,residential,3467928,1719.77767,number of customers,million kilowatt hours
153,2011-10,NJ,New Jersey,RES,residential,3450930,1879.56689,number of customers,million kilowatt hours
154,2011-09,NJ,New Jersey,RES,residential,3459686,2682.31003,number of customers,million kilowatt hours
155,2011-08,NJ,New Jersey,RES,residential,3456416,3360.47561,number of customers,million kilowatt hours
156,2011-07,NJ,New Jersey,RES,residential,3463425,3853.38791,number of customers,million kilowatt hours
157,2011-06,NJ,New Jersey,RES,residential,3455561,2689.49656,number of customers,million kilowatt hours
158,2011-05,NJ,New Jersey,RES,residential,3456038,2015.59991,number of customers,million kilowatt hours
159,2011-04,NJ,New Jersey,RES,residential,3446846,1812.41543,number of customers,million kilowatt hours
160,2011-03,NJ,New Jersey,RES,residential,3451480,2104.28672,number of customers,million kilowatt hours
161,2011-02,NJ,New Jersey,RES,residential,3450621,2173.76455,number of customers,million kilowatt hours
162,2011-01,NJ,New Jersey,RES,residential,3470608,2956.05169,number of customers,million kilowatt hours
163,2010-12,NJ,New Jersey,RES,residential,3456804,2445.89531,number of customers,million kilowatt hours
164,2010-11,NJ,New Jersey,RES,residential,3455448,1887.49125,number of customers,million kilowatt hours
165,2010-10,NJ,New Jersey,RES,residential,3452265,1905.15251,number of customers,million kilowatt hours
166,2010-09,NJ,New Jersey,RES,residential,3466219,2710.17366,number of customers,million kilowatt hours
167,2010-08,NJ,New Jersey,RES,residential,3451634,3501.93281,number of customers,million kilowatt hours
168,2010-07,NJ,New Jersey,RES,residential,3452141,3979.51123,number of customers,million kilowatt hours
169,2010-06,NJ,New Jersey,RES,residential,3449962,2990.85366,number of customers,million kilowatt hours
170,2010-05,NJ,New Jersey,RES,residential,3470153,2082.04485,number of customers,million kilowatt hours
171,2010-04,NJ,New Jersey,RES,residential,3454839,1801.44443,number of customers,million kilowatt hours
172,2010-03,NJ,New Jersey,RES,residential,3453226,2052.90702,number of customers,million kilowatt hours
173,2010-02,NJ,New Jersey,RES,residential,3444726,2236.72566,number of customers,million kilowatt hours
174,2010-01,NJ,New Jersey,RES,residential,3450657,2713.13564,number of customers,million kilowatt hours
175,2009-12,NJ,New Jersey,RES,residential,3437030,2413.74854,number of customers,million kilowatt hours
176,2009-11,NJ,New Jersey,RES,residential,3476020,1860.23659,number of customers,million kilowatt hours
177,2009-10,NJ,New Jersey,RES,residential,3461596,1891.20738,number of customers,million kilowatt hours
178,2009-09,NJ,New Jersey,RES,residential,3462417,2283.84548,number of customers,million kilowatt hours
179,2009-08,NJ,New Jersey,RES,residential,3451847,3421.17879,number of customers,million kilowatt hours
180,2009-07,NJ,New Jersey,RES,residential,3428075,2826.49524,number of customers,million kilowatt hours
181,2009-06,NJ,New Jersey,RES,residential,3426716,2266.63024,number of customers,million kilowatt hours
182,2009-05,NJ,New Jersey,RES,residential,3315612,1853.0651,number of customers,million kilowatt hours
183,2009-04,NJ,New Jersey,RES,residential,3468392,1935.47112,number of customers,million kilowatt hours
184,2009-03,NJ,New Jersey,RES,residential,3410456,2178.48372,number of customers,million kilowatt hours
185,2009-02,NJ,New Jersey,RES,residential,3416743,2151.30366,number of customers,million kilowatt hours
186,2009-01,NJ,New Jersey,RES,residential,3415139,2751.27813,number of customers,million kilowatt hours
187,2008-12,NJ,New Jersey,RES,residential,3411039,2412.81037,number of customers,million kilowatt hours
188,2008-11,NJ,New Jersey,RES,residential,3422246,2033.02591,number of customers,million kilowatt hours
189,2008-10,NJ,New Jersey,RES,residential,3403459,1948.39948,number of customers,million kilowatt hours
190,2008-09,NJ,New Jersey,RES,residential,3417672,2512.05386,number of customers,million kilowatt hours
191,2008-08,NJ,New Jersey,RES,residential,3428145,3056.21178,number of customers,million kilowatt hours
192,2008-07,NJ,New Jersey,RES,residential,3403251,3687.00551,number of customers,million kilowatt hours
193,2008-06,NJ,New Jersey,RES,residential,3410205,2845.38261,number of customers,million kilowatt hours
194,2008-05,NJ,New Jersey,RES,residential,3397132,1845.18188,number of customers,million kilowatt hours
195,2008-04,NJ,New Jersey,RES,residential,3405769,1810.86824,number of customers,million kilowatt hours
196,2008-03,NJ,New Jersey,RES,residential,3405698,2126.70482,number of customers,million kilowatt hours
197,2008-02,NJ,New Jersey,RES,residential,3437407,2292.96215,number of customers,million kilowatt hours
198,2008-01,NJ,New Jersey,RES,residential,3375642,2540.41639,number of customers,million kilowatt hours
199,2007-12,NJ,New Jersey,RES,residential,,2502.63761,number of customers,million kilowatt hours
200,2007-11,NJ,New Jersey,RES,residential,,2077.30211,number of customers,million kilowatt hours
201,2007-10,NJ,New Jersey,RES,residential,,2125.89377,number of customers,million kilowatt hours
202,2007-09,NJ,New Jersey,RES,residential,,2631.47473,number of customers,million kilowatt hours
203,2007-08,NJ,New Jersey,RES,residential,,3392.04346,number of customers,million kilowatt hours
204,2007-07,NJ,New Jersey,RES,residential,,3205.3737,number of customers,million kilowatt hours
205,2007-06,NJ,New Jersey,RES,residential,,2845.67722,number of customers,million kilowatt hours
206,2007-05,NJ,New Jersey,RES,residential,,2014.99025,number of customers,million kilowatt hours
207,2007-04,NJ,New Jersey,RES,residential,,1915.36035,number of customers,million kilowatt hours
208,2007-03,NJ,New Jersey,RES,residential,,2311.41205,number of customers,million kilowatt hours
209,2007-02,NJ,New Jersey,RES,residential,,2284.64485,number of customers,million kilowatt hours
210,2007-01,NJ,New Jersey,RES,residential,,2444.83689,number of customers,million kilowatt hours
211,2006-12,NJ,New Jersey,RES,residential,,2340.08166,number of customers,million kilowatt hours
212,2006-11,NJ,New Jersey,RES,residential,,1957.58771,number of customers,million kilowatt hours
213,2006-10,NJ,New Jersey,RES,residential,,1893.33493,number of customers,million kilowatt hours
214,2006-09,NJ,New Jersey,RES,residential,,2305.45266,number of customers,million kilowatt hours
215,2006-08,NJ,New Jersey,RES,residential,,3477.32306,number of customers,million kilowatt hours
216,2006-07,NJ,New Jersey,RES,residential,,3716.86924,number of customers,million kilowatt hours
217,2006-06,NJ,New Jersey,RES,residential,,2636.78949,number of customers,million kilowatt hours
218,2006-05,NJ,New Jersey,RES,residential,,1847.42061,number of customers,million kilowatt hours
219,2006-04,NJ,New Jersey,RES,residential,,1734.27889,number of customers,million kilowatt hours
220,2006-03,NJ,New Jersey,RES,residential,,2126.13089,number of customers,million kilowatt hours
221,2006-02,NJ,New Jersey,RES,residential,,2190.98233,number of customers,million kilowatt hours
222,2006-01,NJ,New Jersey,RES,residential,,2395.30452,number of customers,million kilowatt hours
223,2005-12,NJ,New Jersey,RES,residential,,2455.50565,number of customers,million kilowatt hours
224,2005-11,NJ,New Jersey,RES,residential,,1957.85247,number of customers,million kilowatt hours
225,2005-10,NJ,New Jersey,RES,residential,,2097.134,number of customers,million kilowatt hours
226,2005-09,NJ,New Jersey,RES,residential,,2794.22404,number of customers,million kilowatt hours
227,2005-08,NJ,New Jersey,RES,residential,,3756.20512,number of customers,million kilowatt hours
228,2005-07,NJ,New Jersey,RES,residential,,3583.28253,number of customers,million kilowatt hours
229,2005-06,NJ,New Jersey,RES,residential,,2765.36772,number of customers,million kilowatt hours
230,2005-05,NJ,New Jersey,RES,residential,,1742.72081,number of customers,million kilowatt hours
231,2005-04,NJ,New Jersey,RES,residential,,1883.83788,number of customers,million kilowatt hours
232,2005-03,NJ,New Jersey,RES,residential,,2212.24776,number of customers,million kilowatt hours
233,2005-02,NJ,New Jersey,RES,residential,,2231.30106,number of customers,million kilowatt hours
234,2005-01,NJ,New Jersey,RES,residential,,2493.76398,number of customers,million kilowatt hours
235,2004-12,NJ,New Jersey,RES,residential,,2399.96229,number of customers,million kilowatt hours
236,2004-11,NJ,New Jersey,RES,residential,,1859.33336,number of customers,million kilowatt hours
237,2004-10,NJ,New Jersey,RES,residential,,1881.77789,number of customers,million kilowatt hours
238,2004-09,NJ,New Jersey,RES,residential,,2426.40957,number of customers,million kilowatt hours
239,2004-08,NJ,New Jersey,RES,residential,,3073.73703,number of customers,million kilowatt hours
240,2004-07,NJ,New Jersey,RES,residential,,3126.37904,number of customers,million kilowatt hours
241,2004-06,NJ,New Jersey,RES,residential,,2463.99307,number of customers,million kilowatt hours
242,2004-05,NJ,New Jersey,RES,residential,,2025.35415,number of customers,million kilowatt hours
243,2004-04,NJ,New Jersey,RES,residential,,1825.7276,number of customers,million kilowatt hours
244,2004-03,NJ,New Jersey,RES,residential,,2021.05855,number of customers,million kilowatt hours
245,2004-02,NJ,New Jersey,RES,residential,,2291.93106,number of customers,million kilowatt hours
246,2004-01,NJ,New Jersey,RES,residential,,2624.46139,number of customers,million kilowatt hours
247,2003-12,NJ,New Jersey,RES,residential,,2342.44733,number of customers,million kilowatt hours
248,2003-11,NJ,New Jersey,RES,residential,,1850.69577,number of customers,million kilowatt hours
249,2003-10,NJ,New Jersey,RES,residential,,1805.52791,number of customers,million kilowatt hours
250,2003-09,NJ,New Jersey,RES,residential,,2332.45345,number of customers,million kilowatt hours
251,2003-08,NJ,New Jersey,RES,residential,,3305.90526,number of customers,million kilowatt hours
252,2003-07,NJ,New Jersey,RES,residential,,3224.13103,number of customers,million kilowatt hours
253,2003-06,NJ,New Jersey,RES,residential,,2171.12537,number of customers,million kilowatt hours
254,2003-05,NJ,New Jersey,RES,residential,,1709.04103,number of customers,million kilowatt hours
255,2003-04,NJ,New Jersey,RES,residential,,1782.16357,number of customers,million kilowatt hours
256,2003-03,NJ,New Jersey,RES,residential,,2165.98179,number of customers,million kilowatt hours
257,2003-02,NJ,New Jersey,RES,residential,,2112.58173,number of customers,million kilowatt hours
258,2003-01,NJ,New Jersey,RES,residential,,2565.07177,number of customers,million kilowatt hours
259,2002-12,NJ,New Jersey,RES,residential,,2613.3871,number of customers,million kilowatt hours
260,2002-11,NJ,New Jersey,RES,residential,,1855.73927,number of customers,million kilowatt hours
261,2002-10,NJ,New Jersey,RES,residential,,1876.35386,number of customers,million kilowatt hours
262,2002-09,NJ,New Jersey,RES,residential,,2524.78426,number of customers,million kilowatt hours
263,2002-08,NJ,New Jersey,RES,residential,,3224.16962,number of customers,million kilowatt hours
264,2002-07,NJ,New Jersey,RES,residential,,3253.7731,number of customers,million kilowatt hours
265,2002-06,NJ,New Jersey,RES,residential,,2330.52161,number of customers,million kilowatt hours
266,2002-05,NJ,New Jersey,RES,residential,,1736.82733,number of customers,million kilowatt hours
267,2002-04,NJ,New Jersey,RES,residential,,1804.94548,number of customers,million kilowatt hours
268,2002-03,NJ,New Jersey,RES,residential,,1906.7844,number of customers,million kilowatt hours
269,2002-02,NJ,New Jersey,RES,residential,,1836.2379,number of customers,million kilowatt hours
270,2002-01,NJ,New Jersey,RES,residential,,2207.85008,number of customers,million kilowatt hours
271,2001-12,NJ,New Jersey,RES,residential,,1961.87203,number of customers,million kilowatt hours
272,2001-11,NJ,New Jersey,RES,residential,,1722.44503,number of customers,million kilowatt hours
273,2001-10,NJ,New Jersey,RES,residential,,1798.71818,number of customers,million kilowatt hours
274,2001-09,NJ,New Jersey,RES,residential,,2244.33591,number of customers,million kilowatt hours
275,2001-08,NJ,New Jersey,RES,residential,,3055.1837,number of customers,million kilowatt hours
276,2001-07,NJ,New Jersey,RES,residential,,2678.53152,number of customers,million kilowatt hours
277,2001-06,NJ,New Jersey,RES,residential,,2292.85125,number of customers,million kilowatt hours
278,2001-05,NJ,New Jersey,RES,residential,,1677.70854,number of customers,million kilowatt hours
279,2001-04,NJ,New Jersey,RES,residential,,1739.08206,number of customers,million kilowatt hours
280,2001-03,NJ,New Jersey,RES,residential,,1968.49312,number of customers,million kilowatt hours
281,2001-02,NJ,New Jersey,RES,residential,,2014.65228,number of customers,million kilowatt hours
282,2001-01,NJ,New Jersey,RES,residential,,2337.54938,number of customers,million kilowatt hours
